sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ
SPT16744	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16747	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16748	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16753	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16755	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16759	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16762	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16766	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16767	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16770	Resistant	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16771	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16778	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16782	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16787	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16788	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16789	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16790	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16793	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16795	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16798	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16799	Resistant	Resistant	Resistant	Undetermined	Undetermined	Sensitive	Resistant	Sensitive	Undetermined	Sensitive
SPT16800	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16803	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16804	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16805	Resistant	Resistant	Resistant	Undetermined	Sensitive	Undetermined	Resistant	Sensitive	Sensitive	Sensitive
SPT16806	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16807	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16811	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16812	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16813	Resistant	Resistant	Resistant	Sensitive	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16816	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16817	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16818	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16819	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16821	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16823	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16824	Resistant	Resistant	Resistant	Undetermined	Undetermined	Sensitive	Resistant	Sensitive	Undetermined	Sensitive
SPT16826	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16827	Resistant	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16828	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16829	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16830	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16831	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16834	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16835	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16836	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16837	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16838	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16839	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16840	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16843	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16845	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16846	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16847	Resistant	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16848	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16849	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16850	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16851	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16868	Sensitive	Resistant	Resistant	Undetermined	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive
SPT16869	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT16870	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
SPT16871	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive
